id,uid,title,score,date,content,,
,,Fabulous,5,,"Well worth the entry fee to do the domes, magnificent displays of flowers and trees from all over the world. One of my top 5 picks of places to go in Singapore.",,
,,Fantastic experience,5,,"A terrific place to visit. The two domes are spectacular, but for me the Garden Dome was a highlight. Lots of wonderful floral displays.A must visit!",,
,,Gardens By The Bay,5,,Awesome!! An experience that blows the mind. Amazed by the deeply thought plan behind the making of this marvel.,,
,,Cloud Forest,5,,you feel like you are entering the forest. you dont feel abit of in a cover area with man-made waterfall.. Wonderful experience and cooling...,,
,,Peranakan Exhibit Most Beautiful Yet!,5,,"My son and I had a fabulous time on our recent visit - the orchids, shophouses, rickshaws, tiffins, teapot all so beautifully arranged. Thank you.",,
,,Must visit,5,,Perfect spot in the city for a break from the hustle and bustle of Singapore. Beautiful gardens and the best kids area around. There鈥檚 enough to keep you entertained for free but you can pay to go on the skybridge or into the green houses if you want.,,
,,"Stunning, breath taking and worth a visit!",5,,"Breath taking... went with my 17 and 14 y o son鈥檚, and they loved it!!! Just beautiful. Food bit junk but forget that. The whole environment and layout is stunning. An absolute must for all ages.!",,
,,Lighting,5,,"Night time gardens lighting amazing for photography, We have enjoyed very much with our son, also supervision staffs are very calm and very friendly.",,
,,Man made garden paradise,4,,you are able to walk around the gardens without charge and only pay for the two indoor exhibits if you want to see then. great way to spend a few hours away from the traffic of Singapore. The two indoor pavilions are interesting but not worth the money in my view. I do not like man made rocks etc.,,
,,Indoor gardens,5,,It's incredible what they have done. Really couldn't believe it. This place is awesome for kids as well. It's great that they educate people on the environment and what's actually happening in the world. All in all awesome little self done tour. A bit loud though that's due to the tourists.,,
,,Beautiful!,4,,"A beautiful park to relax from the hustle & bustle downtown. Entrance fee for the flower dome, cloud forest and skyway. Eat at Sate at the bay before the light show. A definite 鈥榯o do鈥?when in Singapore.",,
,,Beautiful indoor gardens,5,,These indoor gardens are amazing! In combination with the indoor waterfalls it is an amazing! The only thing i did not like it was very crowded and have to wait on the que to get the entrance tickets for half an hour...,,
,,Garden Rhapsody,5,,"Absolute must visit if you're in Singapore. The Gardens by the Bay are magical day or night though morning or evening is preferable as it's not as hot as the afternoon. Lots of interesting gardens, lake features and of course the super trees. You can get some nice shots of Marina Bay Sands Hotel and Satay by the Bay is nice to go for somewhere to eat. I was able to watch the Garden Rapsody again this year though I think it is seasonal only.",,
,,Gardens by the Bay,5,,"It鈥檚 was a fantastic place in Singapore, Gardens by the Bay! There was a wide garden with a lots of trees, flowers and entertainment! We had an extremely experience in here!",,
,,Great Garden,5,,Absolutely amazing garden which is very well maintained with lot of new collection and one should not miss out this garden visit on their trip to Singapore.,,
,,Excellent Day Out,5,,"With advice from a friend we took swimming costumes with us so the kids could cool off in the splash area. The play park area beside it is also great for a run around. So glad we did, as they loved it!!! And it was free!!! We also only booked tickets for the cloud dome as I think my more would have been a bit boring for my kids. We timed it so that we saw the light show which for me was absolutely stunning. We arrived around 3pm. And left around 8.30pm after the light show.",,
,,beauty by the Bay,5,,"gardens by the bay may be the best place to visit in Singapore. Beautiful flowers ,waterfalls , different type of trees and very huge area.
It is better to visit in the evening around 3 30 and one can enjoy for 4 hours.
one can start from FLOWER DOME.with beautiful flowers of different sizes and colours.. then move to cloud forest .35 mt rman made mountain and water fall,very beautiful.
at OCBC skyway there is beautiful light and sound show at 7.45 and 8.45 pm .This show is not to be missed.
people sleep on grass and watch show of about 15 min.
then other gardens around these three main.
one can spend 5 hours here",,
,,Magnificent,5,,The highlight of my trip to Singapore. Must see if your in Singapore and have time. Then go back at night time when it is lit up,,
,,Wow,5,,"I didn't know what to expect when we visited the gardens. Supertree grove gives a great view of the bay and surrounding area, The flower dome was really fragrant with all the different plants, The cloud forest was a really nice walk just before sunset. there is a good conservation message at the end of the cloud forest walk. The cloud forest was favourite and really breathtaking",,
,,OMG,5,,Do not visit Singapore without going to the gardens. You don't even have to love plants to appreciate the wonder of just how they built these domes & what happens inside. A must see for every one & then return in the evening to watch the light & music show at the super trees.,,
